Wholesale,Hurtownia
Wholesales,Hurtownie
Task,Zadanie
Tasks,Zadania
WholesaleImport,Import z hurtowni
4mage Wholesale Import,4mage Import z hurtowni
Wholesale Import,Import z hurtowni
XML Attribute,Cecha w XML
Attributes Custom Values,Własne wartości atrybutów
Wholesale category can be assigned only once: %1,Kategoria hurtowni może być przypisana tylko raz: %1
Import Products,Importowanie produktów
Delete Products,Usuwanie produktów
Import Products Images,Importowanie zdjęć produktów
Messages,Wiadomości
Update Products,Aktualizuj produkty
Update Stocks,Aktualizuj stany magazynowe
Update Prices,Aktualizuj ceny
Delete a File,"Usuń plik"